Project Name,Language,CM Builds,CM Passed Builds,CM Broken Builds,CM Broken Build p,OM Builds,OM Passed Builds,OM Broken Builds,OM Broken Build p
zdennis/activerecord-import,java,45,40,5,11.111112,2,2,0,0
zeisler/active_mocker,ruby,181,121,60,33.14917,806,696,110,13.647643
zendesk/samson,ruby,2297,1903,394,17.15281,243,177,66,27.160492
zeroturnaround/zt-exec,java,183,174,9,4.9180326,87,79,8,9.195402
zeroturnaround/zt-zip,ruby,299,250,49,16.38796,4,4,0,0
zevarito/mixpanel,java,219,151,68,31.050228,47,20,27,57.446808
zhangkaitao/es,ruby,220,85,135,61.363636,1,1,0,0
zinenko/vk-ruby,ruby,359,244,115,32.033424,2,2,0,0
zmoazeni/csscss,ruby,116,115,1,0.86206895,27,16,11,40.74074
zquestz/omniauth-google-oauth2,java,415,390,25,6.0240965,19,19,0,0
zxing/zxing,java,41,0,41,100,11,9,2,18.181818
