Project Name,Language,CM Builds,CM Passed Builds,CM Broken Builds,CM Broken Build p,OM Builds,OM Passed Builds,OM Broken Builds,OM Broken Build p
asciidoctor/asciidoctor-diagram,ruby,255,220,35,13.725491,16,12,4,25
asciinema/asciinema.org,ruby,1698,899,799,47.05536,6,6,0,0
ashmckenzie/percheron,ruby,227,198,29,12.775331,21,18,3,14.285715
asm-helpful/helpful-web,ruby,661,486,175,26.475039,53,44,9,16.981133
assaf/vanity,ruby,9612,9171,441,4.588015,1942,1759,183,9.423275
atmos/heaven,ruby,101,73,28,27.722773,4,4,0,0
attr-encrypted/attr_encrypted,ruby,557,361,196,35.18851,110,20,90,81.818184
avdi/naught,ruby,330,298,32,9.696969,4,4,0,0
avoinministerio/avoinministerio,ruby,151,0,151,100,20,0,20,100
awestruct/awestruct,java,5136,3537,1599,31.133179,317,133,184,58.044167
aws/aws-sdk-java,ruby,608,574,34,5.5921054,581,334,247,42.51291
aws/aws-sdk-ruby,java,4623,4030,593,12.827168,1135,1119,16,1.4096917
azagniotov/stubby4j,java,1179,1028,151,12.807465,236,216,20,8.474577
Azure/azure-sdk-for-ruby,java,151,133,18,11.920529,12,12,0,0
AzureAD/azure-activedirectory-library-for-android,ruby,65,33,32,49.23077,216,90,126,58.333332
balanced/balanced-ruby,java,673,401,272,40.416046,47,27,20,42.553192
bartdag/py4j,java,169,114,55,32.544376,3,3,0,0
BaseXdb/basex,java,182,146,36,19.78022,1,1,0,0
basho/riak-java-client,ruby,65,34,31,47.692307,4,4,0,0
bbatsov/powerpack,ruby,294,286,8,2.7210884,11,8,3,27.272728
bbatsov/rubocop,ruby,6969,5801,1168,16.759937,77,77,0,0
BBC-News/wraith,ruby,511,430,81,15.851273,44,28,16,36.363636
bear-metal/tunemygc,ruby,927,802,125,13.484359,48,32,16,33.333336
bellycard/napa,ruby,151,147,4,2.6490066,3,3,0,0
bemyeyes/bemyeyes-server,ruby,1,0,1,100,134,0,134,100
benbalter/gman,ruby,385,299,86,22.337662,1,1,0,0
benbalter/jekyll-auth,ruby,146,115,31,21.232876,3,3,0,0
benbalter/word-to-markdown,ruby,207,90,117,56.521736,1,1,0,0
benhoskings/babushka,ruby,2053,1519,534,26.010715,100,95,5,5
benjaminoakes/maid,ruby,53,36,17,32.07547,1411,1145,266,18.851877
bensie/sshkey,java,923,515,408,44.203682,148,126,22,14.864865
Berico-Technologies/CLAVIN,ruby,40,26,14,35,32,8,24,75
berkshelf/berkshelf-api,ruby,1087,352,735,67.617294,123,102,21,17.073172
berkshelf/vagrant-berkshelf,ruby,317,204,113,35.64669,2,2,0,0
bflad/chef-docker,ruby,592,415,177,29.89865,14,8,6,42.857143
bikeindex/bike_index,ruby,1009,939,70,6.937562,157,137,20,12.738853
binarylogic/authlogic,java,559,389,170,30.41145,114,11,103,90.350876
biojava/biojava,java,364,239,125,34.34066,92,74,18,19.565218
bitcoinj/bitcoinj,java,301,234,67,22.259136,148,120,28,18.918919
bitsofproof/supernode,ruby,3,1,2,66.66667,550,472,78,14.181818
bkeepers/dotenv,ruby,856,585,271,31.658878,65,47,18,27.692308
bkeepers/qu,ruby,422,388,34,8.056872,22,12,10,45.454548
blowmage/minitest-rails,java,1401,638,763,54.461098,73,20,53,72.60274
bndtools/bnd,java,111,103,8,7.207207,145,118,27,18.62069
bndtools/bndtools,ruby,116,111,5,4.3103447,69,64,5,7.2463765
bokmann/business_time,ruby,278,265,13,4.676259,19,19,0,0
bokmann/font-awesome-rails,java,894,701,193,21.588367,54,27,27,50
bostonrb/bostonrb,ruby,28,12,16,57.14286,37,19,18,48.64865
boxen/boxen,ruby,283,203,80,28.26855,89,22,67,75.2809
boxen/puppet-boxen,ruby,144,102,42,29.166666,11,11,0,0
boxen/puppet-osx,ruby,52,44,8,15.384616,12,10,2,16.666668
bploetz/versionist,java,1389,352,1037,74.65803,293,48,245,83.617744
brettwooldridge/HikariCP,ruby,1739,1596,143,8.223116,4,4,0,0
brewster/elastictastic,java,180,29,151,83.888885,6,1,5,83.33333
brianfrankcooper/YCSB,ruby,46,42,4,8.695652,60,52,8,13.333334
brianmario/mysql2,ruby,1627,1125,502,30.854332,131,102,29,22.137405
brigade/overcommit,java,3398,2869,529,15.567981,811,705,106,13.070284
broadinstitute/picard,java,913,858,55,6.0240965,76,66,10,13.157895
brooklyncentral/clocker,ruby,415,365,50,12.048193,10,10,0,0
brooklynDev/airborne,ruby,321,258,63,19.62617,48,47,1,2.0833335
browsermedia/browsercms,java,118,8,110,93.220345,9,0,9,100
bruno-medeiros/DDT,java,117,54,63,53.846157,247,175,72,29.149797
bugsnag/bugsnag-ruby,java,3229,2323,906,28.058222,66,54,12,18.181818
BuildCraft/BuildCraft,java,1462,837,625,42.749657,92,42,50,54.347824
bumptech/glide,ruby,99,98,1,1.010101,7,7,0,0
burke/zeus,ruby,371,252,119,32.07547,35,29,6,17.142859
burtlo/ark,ruby,5,1,4,80,237,84,153,64.55696
bwillis/versioncake,ruby,967,943,24,2.4819028,346,251,95,27.456648
byroot/activerecord-typedstore,java,1948,1681,267,13.706366,58,50,8,13.793103
caelum/mamute,java,195,143,52,26.666668,19,6,13,68.42105
caelum/tubaina,java,68,43,25,36.764706,34,18,16,47.058823
caelum/vraptor,java,135,114,21,15.555556,40,37,3,7.5000005
caelum/vraptor4,ruby,1448,1305,143,9.87569,329,296,33,10.030395
calabash/calabash-ios,ruby,739,612,127,17.185385,6,6,0,0
calagator/calagator,ruby,2978,2455,523,17.562122,628,498,130,20.700636
camping/camping,ruby,352,229,123,34.94318,295,140,155,52.54237
CanCanCommunity/cancancan,ruby,4512,2512,2000,44.32624,717,580,137,19.107393
cantino/huginn,ruby,2298,2014,284,12.358572,225,174,51,22.666668
cantino/reckon,ruby,76,74,2,2.631579,12,12,0,0
carrierwaveuploader/carrierwave,java,3944,1155,2789,70.71501,305,134,171,56.06557
carymrobbins/intellij-haskforce,ruby,664,566,98,14.759035,688,614,74,10.755814
Casecommons/pg_search,java,7679,6661,1018,13.256934,1271,1161,110,8.654603
cassianoleal/vagrant-butcher,java,96,82,14,14.583333,8,7,1,12.5
cbeust/testng,ruby,361,284,77,21.32964,6,6,0,0
ccocchi/rabl-rails,ruby,346,279,67,19.364162,242,212,30,12.396694
celluloid/celluloid,ruby,9549,5085,4464,46.748352,247,111,136,55.060726
celluloid/celluloid-io,ruby,1578,528,1050,66.539925,45,7,38,84.44444
celluloid/celluloid-zmq,ruby,609,290,319,52.380955,10,0,10,100
celluloid/dcell,ruby,894,415,479,53.57942,23,12,11,47.826088
celluloid/reel,ruby,2484,1780,704,28.341385,137,126,11,8.029197
celluloid/timers,ruby,544,383,161,29.595589,16,16,0,0
ceph/ceph-cookbook,ruby,104,94,10,9.615385,2,2,0,0
cerebris/jsonapi-resources,ruby,2117,2021,96,4.534719,93,93,0,0
cgriego/active_attr,ruby,1606,1136,470,29.265255,424,239,185,43.632076
chanks/que,ruby,576,16,560,97.22222,15,0,15,100
charliesome/better_errors,ruby,239,217,22,9.205021,9,5,4,44.444447
charlotte-ruby/impressionist,java,351,181,170,48.43305,554,395,159,28.700361
checkstyle/checkstyle,ruby,3677,3477,200,5.4392166,8797,8176,621,7.0592246
cheezy/page-object,ruby,1185,847,338,28.523207,135,87,48,35.555557
chef/chef,ruby,134774,105522,29252,21.704483,54130,42928,11202,20.694624
chef/omnibus,java,88,85,3,3.409091,29,24,5,17.241379
chocoteam/choco3,ruby,213,0,213,100,200,0,200,100
ci-reporter/ci_reporter,ruby,72,72,0,0,63,3,60,95.2381
clayallsopp/formotion,java,75,39,36,48,11,0,11,100
cloudfoundry/cloud_controller_ng,java,8396,6423,1973,23.499285,1238,986,252,20.355412
cloudfoundry/uaa,ruby,2685,2332,353,13.147114,144,136,8,5.555556
cloudfoundry/warden,java,611,466,145,23.731588,234,227,7,2.991453
CloudifySource/cloudify,ruby,70,61,9,12.857143,452,408,44,9.734513
code-mancers/invoker,java,605,446,159,26.280993,28,25,3,10.714286
code4craft/webmagic,ruby,2,2,0,0,1166,1048,118,10.120069
codebrew/backbone-rails,ruby,73,60,13,17.80822,26,23,3,11.538462
codefirst/AsakusaSatellite,ruby,1029,955,74,7.1914477,3,3,0,0
codeforamerica/adopt-a-hydrant,ruby,301,289,12,3.986711,49,49,0,0
codeforamerica/citygram,ruby,1012,897,115,11.363637,32,32,0,0
codeforamerica/follow-all,ruby,209,206,3,1.4354067,207,207,0,0
codeforamerica/textizen,ruby,52,2,50,96.15385,250,18,232,92.799995
codetriage/codetriage,ruby,313,265,48,15.335463,16,14,2,12.5
codevise/pageflow,ruby,507,492,15,2.95858,45,45,0,0
coinbase/toshi,ruby,165,150,15,9.090909,28,22,6,21.428572
colinsurprenant/redstorm,ruby,154,125,29,18.831167,2,1,1,50
collectiveidea/audited,ruby,680,385,295,43.38235,138,106,32,23.188406
collectiveidea/awesome_nested_set,ruby,21583,4327,17256,79.95182,580,363,217,37.413795
collectiveidea/interactor,ruby,52,52,0,0,16,16,0,0
collectiveidea/json_spec,ruby,225,223,2,0.8888889,31,21,10,32.258064
colszowka/simplecov,ruby,1454,716,738,50.75653,132,81,51,38.636364
comfy/comfortable-mexican-sofa,ruby,3369,2652,717,21.28228,128,79,49,38.28125
Compass/compass-rails,ruby,1406,1095,311,22.119488,49,32,17,34.69388
concerto/concerto,java,156,116,40,25.641027,35,24,11,31.428572
coorasse/Airesis,java,603,109,494,81.92371,1,0,1,100
crawljax/crawljax,ruby,122,63,59,48.360653,1,1,0,0
crowdint/rails3-jquery-autocomplete,ruby,54,50,4,7.4074073,29,29,0,0
cryptosphere/rbnacl,ruby,3053,2577,476,15.591222,56,42,14,25
csc/Hanlon,ruby,48,47,1,2.0833335,10,10,0,0
ctran/annotate_models,java,118,73,45,38.135593,12,1,11,91.66667
CyberAgent/android-gpuimage,ruby,28,11,17,60.714287,1,0,1,100
cypriss/mutations,ruby,166,134,32,19.277107,28,16,12,42.857143
cyu/rack-cors,java,63,52,11,17.460318,2,2,0,0
danielweinmann/catarse,ruby,451,133,318,70.50998,133,34,99,74.4361
danmayer/coverband,ruby,108,46,62,57.40741,35,26,9,25.714287
danmunn/redmine_dmsf,ruby,708,166,542,76.55367,118,24,94,79.66102
dannnylo/rtesseract,ruby,217,146,71,32.718895,63,31,32,50.793655
data-axle/cassandra_object,ruby,409,84,325,79.462105,6,4,2,33.333336
DatabaseCleaner/database_cleaner,ruby,219,162,57,26.027397,107,83,24,22.429905
datamapper/do,java,450,295,155,34.444447,40,40,0,0
datastax/java-driver,ruby,996,798,198,19.879519,42,36,6,14.285715
datastax/ruby-driver,ruby,3354,1712,1642,48.95647,45,15,30,66.66667
davetron5000/gli,ruby,561,338,223,39.750446,98,72,26,26.530611
davetron5000/methadone,ruby,785,490,295,37.579617,26,20,6,23.076923
davidcelis/recommendable,java,812,630,182,22.413794,3,0,3,100
davidmoten/rxjava-jdbc,ruby,589,580,9,1.5280136,3,3,0,0
dblock/rspec-rerun,java,647,568,79,12.2102,24,14,10,41.666664
dblock/waffle,ruby,667,584,83,12.443778,4,4,0,0
ddollar/foreman,java,909,702,207,22.772278,56,52,4,7.1428576
deeplearning4j/deeplearning4j,ruby,1742,253,1489,85.47646,45,4,41,91.111115
defunkt/fakefs,ruby,371,253,118,31.80593,357,293,64,17.927172
dejan/auto_html,ruby,223,192,31,13.901345,28,24,4,14.285715
devnied/EMV-NFC-Paycard-Enrollment,java,296,240,56,18.918919,13,13,0,0
dianping/cat,ruby,199,131,68,34.170853,8,5,3,37.5
diaspora/diaspora,java,8576,4171,4405,51.364273,1971,660,1311,66.514465
discourse/onebox,java,131,123,8,6.10687,67,55,12,17.910448
dita-ot/dita-ot,ruby,23,22,1,4.347826,856,781,75,8.7616825
dkubb/adamantium,ruby,735,499,236,32.108845,29,8,21,72.41379
dkubb/axiom,ruby,754,451,303,40.185677,198,110,88,44.444447
dkubb/equalizer,ruby,927,563,364,39.266453,198,106,92,46.464645
dkubb/ice_nine,ruby,1016,609,407,40.059055,18,6,12,66.66667
dkubb/memoizable,ruby,858,687,171,19.93007,182,23,159,87.36263
dmarcotte/github-markdown-preview,java,502,433,69,13.74502,36,30,6,16.666668
doanduyhai/Achilles,ruby,933,870,63,6.7524114,83,81,2,2.4096384
dockyard/party_foul,ruby,291,231,60,20.618557,25,25,0,0
doorkeeper-gem/doorkeeper,java,5580,4527,1053,18.870968,758,566,192,25.329817
DozerMapper/dozer,ruby,95,56,39,41.05263,57,48,9,15.789473
dradis/dradisframework,ruby,164,27,137,83.53658,87,0,87,100
drapergem/draper,ruby,9009,5434,3575,39.68254,448,240,208,46.42857
drbrain/net-http-persistent,java,244,192,52,21.311476,16,12,4,25
dreamhead/moco,ruby,3063,2513,550,17.956253,42,33,9,21.428572
dropwizard/dropwizard,java,952,878,74,7.7731094,70,61,9,12.857143
dropwizard/metrics,ruby,340,307,33,9.705882,148,119,29,19.594595
drrb/puppet-library,java,1711,1379,332,19.403856,8,8,0,0
druid-io/druid,java,761,544,217,28.515112,14,14,0,0
DSpace/DSpace,java,681,637,44,6.4610868,92,89,3,3.2608695
dynjs/dynjs,ruby,809,687,122,15.080346,52,50,2,3.846154
eclipse/jetty.project,ruby,6,0,6,100,250,12,238,95.200005
edelight/chef-mongodb,ruby,111,90,21,18.918919,9,9,0,0
egonSchiele/contracts.ruby,java,1357,1127,230,16.949154,47,39,8,17.021276
eirslett/frontend-maven-plugin,ruby,220,110,110,50,6,6,0,0
ejholmes/metaforce,ruby,338,264,74,21.893492,10,0,10,100
elabs/pundit,ruby,1131,900,231,20.424404,23,4,19,82.608696
elcuervo/airplay,java,280,137,143,51.07143,34,22,12,35.294117
